eps,n_clusters,has_nan,silhouette_score,n_nans,perc_nan
0.6770000000000005,4,True,0.31774804756353425,39,0.6911217437533227
0.6780000000000004,4,True,0.31774804756353425,39,0.6911217437533227
0.6790000000000005,4,True,0.31774804756353425,39,0.6911217437533227
0.6800000000000004,4,True,0.3186032535800673,38,0.6734006734006733
0.6810000000000005,4,True,0.31941076064292767,34,0.6025163919900762
0.6820000000000004,4,True,0.31941076064292767,34,0.6025163919900762
0.6830000000000005,4,True,0.31941076064292767,34,0.6025163919900762
0.6840000000000004,4,True,0.31941076064292767,34,0.6025163919900762
0.6850000000000005,4,True,0.31941076064292767,34,0.6025163919900762
0.6860000000000004,4,True,0.31941076064292767,34,0.6025163919900762
0.6870000000000005,4,True,0.31941076064292767,34,0.6025163919900762
0.6880000000000004,4,True,0.31941076064292767,34,0.6025163919900762
0.6890000000000005,4,True,0.31941076064292767,34,0.6025163919900762
0.6900000000000004,4,True,0.3206572128466512,33,0.5847953216374269
0.6910000000000005,4,True,0.3211857014450945,32,0.5670742512847776
0.6920000000000004,4,True,0.3211857014450945,32,0.5670742512847776
0.6930000000000005,4,True,0.3211857014450945,32,0.5670742512847776
0.6940000000000004,4,True,0.3208713782089724,30,0.531632110579479
0.6950000000000005,4,True,0.3208713782089724,30,0.531632110579479
0.6960000000000004,4,True,0.3208713782089724,30,0.531632110579479
0.6970000000000005,4,True,0.3193842237836198,29,0.5139110402268298
0.6980000000000004,4,True,0.3177571529615541,28,0.49618996987418035
0.6990000000000005,4,True,0.3177571529615541,28,0.49618996987418035
0.7000000000000004,4,True,0.3177571529615541,28,0.49618996987418035
0.7010000000000005,4,True,0.3177571529615541,28,0.49618996987418035
0.7020000000000004,4,True,0.3177571529615541,28,0.49618996987418035
0.7030000000000005,4,True,0.3177571529615541,28,0.49618996987418035
0.7040000000000004,4,True,0.3185864656651215,27,0.4784688995215311
0.7050000000000005,4,True,0.3185864656651215,27,0.4784688995215311
0.7060000000000004,4,True,0.3185864656651215,27,0.4784688995215311
0.7070000000000005,4,True,0.3185864656651215,27,0.4784688995215311
0.7080000000000004,4,True,0.3185864656651215,27,0.4784688995215311
0.7090000000000005,4,True,0.32818290930167754,18,0.3189792663476874
0.7100000000000004,4,True,0.32818290930167754,18,0.3189792663476874
0.7110000000000005,4,True,0.32818290930167754,18,0.3189792663476874
0.7120000000000004,4,True,0.32818290930167754,18,0.3189792663476874
0.7130000000000005,4,True,0.32864337432842666,17,0.3012581959950381
0.7140000000000004,4,True,0.32864337432842666,17,0.3012581959950381
0.7150000000000005,4,True,0.32864337432842666,17,0.3012581959950381
0.7160000000000004,4,True,0.32600897588607164,16,0.2835371256423888
0.7170000000000005,4,True,0.32600897588607164,16,0.2835371256423888
0.7180000000000004,4,True,0.32600897588607164,16,0.2835371256423888
0.7190000000000005,4,True,0.32600897588607164,16,0.2835371256423888
0.7200000000000004,4,True,0.32600897588607164,16,0.2835371256423888
0.7210000000000005,4,True,0.32600897588607164,16,0.2835371256423888
0.7220000000000004,4,True,0.32600897588607164,16,0.2835371256423888
0.7230000000000005,4,True,0.32600897588607164,16,0.2835371256423888
0.7240000000000004,4,True,0.3246687776910463,15,0.2658160552897395
0.7250000000000005,4,True,0.3229484250803358,13,0.2303739145844409
0.7260000000000004,4,True,0.3229484250803358,13,0.2303739145844409
0.7270000000000005,4,True,0.3229484250803358,13,0.2303739145844409
0.7280000000000004,4,True,0.3229484250803358,13,0.2303739145844409
0.7290000000000005,4,True,0.3229484250803358,13,0.2303739145844409
0.7300000000000004,4,True,0.3229484250803358,13,0.2303739145844409
0.7310000000000005,4,True,0.3229484250803358,13,0.2303739145844409
0.7320000000000004,4,True,0.3229484250803358,13,0.2303739145844409
0.7330000000000005,4,True,0.3229484250803358,13,0.2303739145844409
0.7340000000000004,4,True,0.3229484250803358,13,0.2303739145844409
0.7350000000000005,4,True,0.3229484250803358,13,0.2303739145844409
0.7360000000000004,4,True,0.3229484250803358,13,0.2303739145844409
0.7370000000000005,4,True,0.3229484250803358,13,0.2303739145844409
0.7380000000000004,4,True,0.31987786788951916,12,0.21265284423179162
0.7390000000000005,4,True,0.31987786788951916,12,0.21265284423179162
