variable,vacaciones,teletrabajo,jornada_tipo,salario_media,turno_continuo,funciones,contrato_tipo,nivel_profesional,formacion_minima,personas_a_cargo,experiencia,ciudad,num_tecnologias,num_habilidades,variable_booleano
0.0,0.0,0.5,0.9999999999999999,0.25732899022801303,0.0,0.40350877192982454,1.0000000000000002,0.08163265306122448,0.3461538461538461,0.0,1.0,0.0,0.15000000000000002,0.2631578947368421,0.0
0.0,0.0,1.0,0.9999999999999999,0.2736156351791531,0.0,0.27192982456140347,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.01792114695340502,0.35000000000000003,0.3157894736842105,0.0
0.0,0.0,1.0,0.9999999999999999,0.2899022801302932,0.0,0.23684210526315788,1.0000000000000002,0.08163265306122448,0.33333333333333326,0.0,1.0,0.01792114695340502,0.15000000000000002,0.3684210526315789,0.0
0.0,0.0,1.0,0.9117647058823527,0.23127035830618894,1.0,0.23684210526315788,1.0000000000000002,0.08163265306122448,0.33333333333333326,0.0,1.0,0.14695340501792117,0.15000000000000002,0.21052631578947367,0.0
0.0,0.0,1.0,0.9117647058823527,0.38762214983713356,1.0,0.21052631578947367,1.0000000000000002,0.08163265306122448,0.3846153846153846,0.0,1.0,0.0,0.0,0.15789473684210525,0.0
0.0,0.0,1.0,0.9117647058823527,0.20521172638436483,0.0,0.27192982456140347,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.010752688172043012,0.45,0.3684210526315789,0.0
0.0,0.0,1.0,0.9117647058823527,0.25732899022801303,0.0,0.23684210526315788,1.0000000000000002,0.08163265306122448,0.33333333333333326,0.0,1.0,0.04659498207885305,0.2,0.2631578947368421,0.0
0.0,0.0,0.5,0.9999999999999999,0.3224755700325733,0.0,0.15789473684210525,1.0000000000000002,0.2517006802721088,0.3846153846153846,0.0,1.0,0.0,0.4,0.3684210526315789,0.0
0.0,0.0,1.0,0.9117647058823527,0.3550488599348534,0.0,0.25438596491228066,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.0,0.25,0.3684210526315789,0.0
0.0,0.0,1.0,0.9999999999999999,0.2899022801302932,0.0,0.27192982456140347,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.0,0.30000000000000004,0.3684210526315789,0.0
0.0,0.0,0.5,0.9117647058823527,0.3550488599348534,0.0,0.15789473684210525,1.0000000000000002,0.2517006802721088,0.4230769230769231,0.0,1.0,0.0,0.35000000000000003,0.3684210526315789,0.0
0.06,0.0,1.0,0.9999999999999999,0.3127035830618893,0.0,0.24561403508771928,1.0000000000000002,0.08163265306122448,0.33333333333333326,0.0,1.0,0.007168458781362008,0.1,0.2631578947368421,1.0
0.0,0.0,0.5,0.9999999999999999,0.24104234527687296,1.0,0.2280701754385965,1.0000000000000002,0.08163265306122448,0.4743589743589743,0.0,1.0,0.0,0.1,0.3684210526315789,0.0
0.0,0.0,0.5,0.9999999999999999,0.3485342019543974,0.0,0.15789473684210525,1.0000000000000002,0.2517006802721088,0.4230769230769231,0.0,1.0,0.0,0.35000000000000003,0.3157894736842105,0.0
0.06,0.0,1.0,0.9999999999999999,0.22475570032573292,0.0,0.24561403508771928,1.0000000000000002,0.08163265306122448,0.33333333333333326,0.0,1.0,0.003584229390681004,0.1,0.3157894736842105,1.0
0.12,0.0,1.0,0.9117647058823527,0.40390879478827363,0.0,0.2631578947368421,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.11469534050179213,0.30000000000000004,0.3684210526315789,1.0
0.0,0.0,1.0,0.9999999999999999,0.30618892508143325,0.0,0.23684210526315788,1.0000000000000002,0.08163265306122448,0.33333333333333326,0.0,1.0,0.03225806451612904,0.25,0.5263157894736842,0.0
0.0,0.0,1.0,0.9999999999999999,0.20521172638436483,0.0,0.27192982456140347,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.021505376344086023,0.35000000000000003,0.2631578947368421,0.0
0.08,0.0,1.0,0.9999999999999999,0.2899022801302932,1.0,0.2631578947368421,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.07168458781362008,0.30000000000000004,0.42105263157894735,1.0
0.0,0.0,1.0,0.9999999999999999,0.2899022801302932,0.0,0.2719298245614035,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.0,0.4,0.2631578947368421,0.0
0.08,0.0,1.0,0.9117647058823527,0.36156351791530944,0.0,0.24561403508771928,1.0000000000000002,0.08163265306122448,0.33333333333333326,0.0,1.0,0.010752688172043012,0.15000000000000002,0.2631578947368421,1.0
0.04,0.0,1.0,0.9117647058823527,0.3224755700325733,0.0,0.24561403508771928,1.0000000000000002,0.08163265306122448,0.33333333333333326,0.0,1.0,0.021505376344086027,0.2,0.21052631578947367,1.0
0.0,0.0,1.0,0.9117647058823527,0.3713355048859935,0.0,0.23684210526315788,1.0000000000000002,0.08163265306122448,0.33333333333333326,0.0,1.0,0.01792114695340502,0.2,0.3684210526315789,0.0
0.0,0.0,0.0,0.9117647058823527,0.1465798045602606,1.0,0.3245614035087719,1.0000000000000002,0.08163265306122448,0.35897435897435886,0.0,0.75,0.03225806451612903,0.4,0.3684210526315789,0.0
0.04,0.0,0.5,0.9117647058823527,0.247557003257329,1.0,0.14035087719298245,1.0000000000000002,0.2517006802721088,0.4615384615384615,0.0,0.75,0.0,0.25,0.3684210526315789,1.0
0.0,0.0,1.0,0.9117647058823527,0.3387622149837134,0.0,0.27192982456140347,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.014336917562724016,0.45,0.3684210526315789,0.0
0.0,0.0,1.0,0.9117647058823527,0.45276872964169385,0.0,0.23684210526315788,1.0000000000000002,0.08163265306122448,0.33333333333333326,0.0,1.0,0.0,0.0,0.42105263157894735,0.0
0.0,0.0,1.0,0.9999999999999999,0.2899022801302932,1.0,0.23684210526315788,1.0000000000000002,0.08163265306122448,0.33333333333333326,0.0,1.0,0.0,0.15000000000000002,0.3684210526315789,0.0
0.0,0.0,1.0,0.9117647058823527,0.4462540716612378,0.0,0.23684210526315788,1.0000000000000002,0.08163265306122448,0.33333333333333326,0.0,1.0,0.03584229390681004,0.2,0.3157894736842105,0.0
0.0,0.0,1.0,0.9999999999999999,0.2899022801302932,0.0,0.27192982456140347,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.0,0.30000000000000004,0.3157894736842105,0.0
0.0,0.0,1.0,0.9999999999999999,0.2899022801302932,0.0,0.23684210526315788,1.0000000000000002,0.08163265306122448,0.33333333333333326,0.0,1.0,0.0896057347670251,0.2,0.3684210526315789,0.0
0.0,0.0,1.0,0.9999999999999999,0.45276872964169385,0.0,0.25438596491228066,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.12903225806451615,0.35000000000000003,0.7894736842105263,0.0
0.0,0.0,1.0,0.9117647058823527,0.2899022801302932,1.0,0.27192982456140347,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.08602150537634408,0.35000000000000003,0.42105263157894735,0.0
0.0,0.0,1.0,0.9117647058823527,0.2899022801302932,0.0,0.27192982456140347,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.043010752688172046,0.35000000000000003,0.47368421052631576,0.0
0.0,0.0,1.0,0.9117647058823527,0.38762214983713356,1.0,0.25438596491228066,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.13261648745519714,0.25,0.3157894736842105,0.0
0.0,0.0,1.0,0.9999999999999999,0.2899022801302932,0.0,0.2719298245614035,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.0824372759856631,0.65,0.3684210526315789,0.0
0.0,0.0,1.0,0.9999999999999999,0.24104234527687296,0.0,0.23684210526315788,1.0000000000000002,0.08163265306122448,0.33333333333333326,0.0,1.0,0.3225806451612903,0.0,0.3684210526315789,0.0
0.0,0.0,1.0,0.9999999999999999,0.25732899022801303,1.0,0.25438596491228066,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.057347670250896064,0.25,0.3157894736842105,0.0
0.0,0.0,0.5,0.9999999999999999,0.3550488599348534,0.0,0.41228070175438597,1.0000000000000002,0.2517006802721088,0.5128205128205128,0.0,1.0,0.0,0.2,0.42105263157894735,0.0
0.0,0.0,1.0,0.9999999999999999,0.4201954397394137,0.0,0.23684210526315788,1.0000000000000002,0.08163265306122448,0.33333333333333326,0.0,1.0,0.04301075268817204,0.0,0.7894736842105263,0.0
0.0,0.0,1.0,0.9117647058823527,0.22475570032573292,0.0,0.27192982456140347,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.0,0.35000000000000003,0.3684210526315789,0.0
0.0,0.0,1.0,0.9999999999999999,0.38762214983713356,0.0,0.23684210526315788,1.0000000000000002,0.08163265306122448,0.33333333333333326,0.0,1.0,0.05376344086021506,0.15000000000000002,0.3684210526315789,0.0
0.0,0.0,1.0,0.9117647058823527,0.3224755700325733,1.0,0.23684210526315788,1.0000000000000002,0.08163265306122448,0.33333333333333326,0.0,1.0,0.05376344086021506,0.15000000000000002,0.3157894736842105,0.0
0.16,0.0,1.0,0.9117647058823527,0.3550488599348534,0.0,0.2631578947368421,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.11469534050179213,0.30000000000000004,0.3684210526315789,1.0
0.0,0.0,1.0,0.9117647058823527,0.3550488599348534,0.0,0.23684210526315788,1.0000000000000002,0.08163265306122448,0.33333333333333326,0.0,1.0,0.03584229390681004,0.15000000000000002,0.3684210526315789,0.0
0.0,0.0,1.0,0.9999999999999999,0.2768729641693811,0.0,0.27192982456140347,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.0,0.30000000000000004,0.2631578947368421,0.0
0.0,0.0,1.0,0.9999999999999999,0.19218241042345277,0.0,0.23684210526315788,1.0000000000000002,0.08163265306122448,0.33333333333333326,0.0,1.0,0.16129032258064516,0.05,0.3157894736842105,0.0
0.0,0.0,1.0,0.9999999999999999,0.30618892508143325,0.0,0.27192982456140347,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.01792114695340502,0.30000000000000004,0.3684210526315789,0.0
0.0,0.0,1.0,0.9999999999999999,0.24429967426710097,0.0,0.27192982456140347,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.02508960573476703,0.35000000000000003,0.3157894736842105,0.0
0.0,0.0,1.0,0.9999999999999999,0.22475570032573292,0.0,0.23684210526315788,1.0000000000000002,0.08163265306122448,0.33333333333333326,0.0,1.0,0.17921146953405018,0.0,0.3157894736842105,0.0
0.0,0.0,1.0,0.9999999999999999,0.24104234527687296,0.0,0.25438596491228066,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.0931899641577061,0.25,0.2631578947368421,0.0
0.0,0.0,1.0,0.9999999999999999,0.3387622149837134,0.0,0.24561403508771928,1.0000000000000002,0.08163265306122448,0.33333333333333326,0.0,1.0,0.014336917562724016,0.30000000000000004,0.0,0.0
0.1,0.0,0.5,0.9117647058823527,0.24104234527687296,1.0,0.20175438596491227,1.0000000000000002,0.08163265306122448,0.33333333333333326,0.0,1.0,0.05376344086021506,0.0,0.3157894736842105,1.0
0.0,0.0,1.0,0.9999999999999999,0.3387622149837134,0.0,0.27192982456140347,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.0,0.30000000000000004,0.42105263157894735,0.0
0.0,0.0,1.0,0.9999999999999999,0.2182410423452769,1.0,0.23684210526315788,1.0000000000000002,0.08163265306122448,0.33333333333333326,0.0,1.0,0.0,0.25,0.42105263157894735,0.0
0.0,0.0,1.0,0.9999999999999999,0.38762214983713356,0.0,0.2719298245614035,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.014336917562724016,0.35000000000000003,0.15789473684210525,0.0
0.0,0.0,1.0,0.9117647058823527,0.38762214983713356,0.0,0.23684210526315788,1.0000000000000002,0.08163265306122448,0.33333333333333326,0.0,1.0,0.0,0.2,0.42105263157894735,0.0
0.0,0.0,1.0,0.9999999999999999,0.3224755700325733,0.0,0.27192982456140347,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.03225806451612904,0.4,0.3684210526315789,0.0
0.0,0.0,1.0,0.9999999999999999,0.4201954397394137,0.0,0.23684210526315788,1.0000000000000002,0.08163265306122448,0.33333333333333326,0.0,1.0,0.04301075268817204,0.0,0.7894736842105263,0.0
0.0,0.0,1.0,0.9117647058823527,0.30618892508143325,0.0,0.25438596491228066,1.0000000000000002,0.08163265306122448,0.28205128205128194,0.0,1.0,0.01792114695340502,0.25,0.2631578947368421,0.0
0.0,0.0,1.0,0.9117647058823527,0.45276872964169385,0.0,0.23684210526315788,1.0000000000000002,0.08163265306122448,0.33333333333333326,0.0,1.0,0.0,0.15000000000000002,0.15789473684210525,0.0
