salario_media,variable,variable_booleano,vacaciones,teletrabajo,jornada_tipo,funciones,contrato_tipo,nivel_profesional,formacion_minima,personas_a_cargo,experiencia,num_tecnologias,num_habilidades,id
39.0,0.0,0.0,22.0,0.0,2.0,4.0,0.0,3.0,6.0,0.0,2.0,4.0,1.0,id_tec_50
30.6,0.0,0.0,22.0,0.0,2.0,1.0,0.0,4.0,6.0,0.0,0.0,3.0,1.0,id_tec_51
41.1,0.0,0.0,22.0,1.0,2.0,4.0,0.0,3.0,6.0,0.0,2.0,1.0,1.0,id_tec_52
35.9,0.0,0.0,22.0,1.0,2.0,17.0,1.0,4.0,6.0,0.0,2.0,2.0,3.0,id_tec_53
52.2,0.0,0.0,22.0,0.0,2.0,6.0,0.0,4.0,8.0,0.0,2.0,2.0,2.0,id_tec_54
44.839999999999996,0.0,0.0,22.0,1.0,2.0,5.0,4.0,5.0,6.0,0.0,0.0,2.0,1.0,id_tec_55
42.8,0.0,0.0,22.0,0.0,2.0,8.0,0.0,4.0,6.0,0.0,3.0,2.0,1.0,id_tec_56
44.7,0.0,0.0,22.0,0.0,2.0,5.0,0.0,4.0,9.0,0.0,2.0,4.0,1.0,id_tec_57
33.3,0.0,0.0,22.0,0.0,2.0,8.0,0.0,4.0,7.6,0.0,2.0,4.0,1.0,id_tec_58
42.8,0.0,0.0,22.0,0.0,2.0,8.0,0.0,4.0,6.8,0.0,2.0,3.0,1.0,id_tec_59
39.3,0.0,0.0,22.0,0.0,2.0,8.0,0.0,4.0,8.2,0.0,2.0,8.0,1.0,id_tec_60
40.2,0.0,0.0,22.0,1.0,2.0,8.0,0.0,4.0,5.4,0.0,2.0,6.0,1.0,id_tec_61
44.7,0.0,0.0,22.0,1.0,2.0,8.0,0.0,4.0,6.6,0.0,2.0,5.0,1.0,id_tec_62
37.5,0.0,0.0,22.0,1.0,2.0,8.0,0.0,4.0,8.0,0.0,2.0,1.0,1.0,id_tec_63
40.2,0.0,0.0,22.0,1.0,2.0,8.0,0.0,4.0,5.4,0.0,2.0,6.0,1.0,id_tec_64
42.0,0.0,0.0,22.0,0.0,2.0,8.0,0.0,4.0,5.8,0.0,2.0,2.0,2.0,id_tec_65
45.6,0.0,0.0,22.0,0.0,2.0,12.0,0.0,4.0,9.6,0.0,2.0,3.0,1.0,id_tec_66
45.2,0.0,0.0,22.0,0.0,2.0,5.0,0.0,4.0,9.2,0.0,3.0,6.0,1.0,id_tec_67
35.7,0.0,0.0,22.0,0.0,2.0,12.0,0.0,4.0,4.4,0.0,2.0,6.0,1.0,id_tec_68
37.8,0.0,0.0,22.0,0.0,2.0,13.0,0.0,4.0,4.8,0.0,2.0,8.0,1.0,id_tec_69
35.7,0.0,0.0,22.0,0.0,2.0,13.0,0.0,4.0,6.4,0.0,2.0,7.0,1.0,id_tec_70
31.8,0.0,0.0,22.0,0.0,2.0,16.0,0.0,4.0,5.2,0.0,2.0,6.0,1.0,id_tec_71
44.4,0.0,0.0,22.0,0.0,2.0,13.0,0.0,4.0,7.2,0.0,2.0,3.0,1.0,id_tec_72
40.2,0.0,0.0,22.0,1.0,2.0,8.0,0.0,4.0,6.8,0.0,2.0,9.0,1.0,id_tec_73
37.5,0.0,0.0,22.0,0.0,2.0,8.0,0.0,4.0,6.0,0.0,2.0,5.0,1.0,id_tec_74
42.1,0.0,0.0,22.0,1.0,2.0,15.0,0.0,4.0,6.8,0.0,2.0,2.0,2.0,id_tec_75
39.0,0.0,0.0,22.0,1.0,2.0,12.0,0.0,4.0,3.6,0.0,2.0,7.0,2.0,id_tec_76
50.7,0.0,0.0,22.0,0.0,2.0,8.0,0.0,4.0,6.4,0.0,3.0,5.0,1.0,id_tec_77
42.3,0.0,0.0,22.0,0.0,2.0,13.0,0.0,4.0,4.8,0.0,2.0,5.0,1.0,id_tec_78
62.1,0.0,0.0,22.0,0.0,2.0,6.0,0.0,4.0,5.8,0.0,3.0,2.0,2.0,id_tec_79
33.3,0.0,0.0,22.0,0.0,2.0,6.0,0.0,4.0,6.0,0.0,2.0,9.0,2.0,id_tec_80
41.4,0.0,0.0,22.0,1.0,2.0,10.0,0.0,4.0,7.0,0.0,2.0,8.0,1.0,id_tec_81
37.3,0.0,0.0,22.0,0.0,2.0,16.0,0.0,4.0,6.0,0.0,2.0,9.0,3.0,id_tec_82
46.5,0.0,0.0,22.0,0.0,2.0,18.0,0.0,4.0,13.0,0.0,2.0,18.0,1.0,id_tec_83
33.0,0.0,0.0,22.0,0.0,2.0,2.0,0.0,3.0,6.0,0.0,2.0,13.0,1.0,id_tec_84
35.4,0.0,0.0,22.0,1.0,2.0,3.0,0.0,3.0,6.0,0.0,2.0,3.0,2.0,id_tec_85
38.4,0.0,0.0,22.0,0.0,2.0,8.0,0.0,4.0,8.0,0.0,2.0,2.0,1.0,id_tec_86
42.6,0.0,0.0,22.0,0.0,2.0,13.0,0.0,4.0,6.0,0.0,1.0,5.0,2.0,id_tec_87
40.5,0.0,0.0,22.0,0.0,2.0,1.0,0.0,4.0,13.0,0.0,3.0,8.0,1.0,id_tec_88
33.0,0.0,0.0,22.0,1.0,2.0,4.0,0.0,4.0,6.0,0.0,2.0,8.0,2.0,id_tec_89
34.5,0.0,0.0,22.0,1.0,2.0,19.0,0.0,4.0,6.0,0.0,1.0,2.0,2.0,id_tec_90
37.5,0.0,0.0,22.0,0.0,2.0,8.0,0.0,4.0,6.0,0.0,2.0,2.0,1.0,id_tec_91
34.5,0.0,0.0,22.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,2.0,3.0,2.0,id_tec_92
36.0,0.0,0.0,22.0,1.0,2.0,11.0,0.0,4.0,7.0,0.0,2.0,2.0,2.0,id_tec_93
37.5,0.0,0.0,22.0,1.0,2.0,4.0,0.0,4.0,6.0,0.0,2.0,5.0,2.0,id_tec_94
19.5,0.0,0.0,22.0,1.0,2.0,8.0,0.0,4.0,6.0,0.0,1.0,6.0,1.0,id_tec_95
43.5,0.0,0.0,22.0,0.0,2.0,8.0,0.0,4.0,6.0,0.0,2.0,2.0,1.0,id_tec_96
40.0,0.0,0.0,22.0,1.0,2.0,20.0,0.0,4.0,6.0,0.0,2.0,12.0,1.0,id_tec_97
35.4,0.0,0.0,22.0,0.0,2.0,19.0,0.0,4.0,6.0,0.0,2.0,9.0,2.0,id_tec_98
28.5,0.0,0.0,22.0,0.0,2.0,8.0,0.0,3.0,6.0,0.0,1.0,4.0,1.0,id_tec_99
51.0,0.0,0.0,22.0,0.0,2.0,2.0,0.0,4.0,6.0,0.0,3.0,1.0,2.0,id_tec_100
16.0,0.0,0.0,22.0,1.0,2.0,15.0,0.0,4.0,6.0,0.0,1.0,8.0,1.0,id_tec_101
45.432,0.0,0.0,22.0,1.0,2.0,8.0,0.0,4.0,10.6,0.0,3.0,4.0,1.0,id_tec_102
43.5,0.0,0.0,22.0,0.0,2.0,0.0,0.0,4.0,11.0,0.0,3.0,4.0,1.0,id_tec_103
46.5,0.0,0.0,22.0,1.0,2.0,7.0,0.0,4.0,5.2,0.0,2.0,3.0,2.0,id_tec_104
34.5,0.0,0.0,22.0,0.0,2.0,4.0,0.0,4.0,13.0,0.0,1.0,7.0,1.0,id_tec_105
28.5,0.0,0.0,22.0,1.0,2.0,4.0,0.0,4.0,13.0,0.0,3.0,7.0,1.0,id_tec_106
22.5,0.0,0.0,22.0,0.0,2.0,21.0,1.0,4.0,8.0,0.0,1.0,5.0,2.0,id_tec_107
34.5,0.0,0.0,22.0,1.0,2.0,4.0,0.0,4.0,2.0,0.0,2.0,7.0,2.0,id_tec_108
37.8,0.0,0.0,22.0,0.0,2.0,1.0,0.0,4.0,7.0,0.0,2.0,1.0,1.0,id_tec_109
48.0,0.0,0.0,22.0,1.0,2.0,20.0,0.0,4.0,8.0,0.0,2.0,2.0,1.0,id_tec_110
33.3,0.0,0.0,22.0,0.0,2.0,21.0,0.0,4.0,10.0,0.0,1.0,1.0,2.0,id_tec_111
34.2,0.0,0.0,22.0,0.0,2.0,19.0,0.0,4.0,6.0,0.0,2.0,3.0,2.0,id_tec_112
27.0,0.0,0.0,22.0,0.0,2.0,1.0,0.0,3.0,5.0,30.0,2.0,4.0,2.0,id_tec_113
45.0,0.0,0.0,22.0,0.0,2.0,8.0,0.0,4.0,1.0,0.0,3.0,9.0,1.0,id_tec_114
36.0,0.0,0.0,22.0,1.0,2.0,22.0,0.0,4.0,2.0,0.0,2.0,2.0,1.0,id_tec_115
51.0,0.0,0.0,22.0,1.0,2.0,8.0,0.0,4.0,6.0,0.0,2.0,5.0,2.0,id_tec_116
43.5,0.0,0.0,22.0,1.0,2.0,23.0,0.0,2.0,13.0,0.0,2.0,5.0,1.0,id_tec_117
48.0,0.0,0.0,22.0,1.0,2.0,8.0,0.0,4.0,7.0,0.0,2.0,7.0,1.0,id_tec_118
47.3,0.0,0.0,22.0,1.0,2.0,1.0,0.0,4.0,6.0,0.0,3.0,4.0,2.0,id_tec_119
37.8,0.0,0.0,22.0,0.0,2.0,8.0,0.0,3.0,6.0,0.0,2.0,7.0,1.0,id_tec_120
28.5,0.0,0.0,22.0,0.0,2.0,8.0,0.0,4.0,13.0,0.0,2.0,8.0,1.0,id_tec_121
35.7,0.0,0.0,22.0,0.0,2.0,9.0,0.0,4.0,5.8,0.0,2.0,4.0,2.0,id_tec_122
37.5,0.0,0.0,22.0,1.0,2.0,17.0,0.0,4.0,4.8,0.0,2.0,2.0,1.0,id_tec_123
43.8,0.0,0.0,22.0,1.0,2.0,5.0,0.0,4.0,6.8,0.0,2.0,4.0,1.0,id_tec_124
34.4,0.0,0.0,22.0,0.0,2.0,13.0,0.0,4.0,4.6,0.0,2.0,9.0,2.0,id_tec_125
34.2,0.0,0.0,22.0,0.0,2.0,13.0,0.0,4.0,5.2,0.0,2.0,6.0,1.0,id_tec_126
44.4,0.0,0.0,22.0,0.0,2.0,13.0,0.0,4.0,7.2,0.0,2.0,3.0,1.0,id_tec_127
37.5,0.0,0.0,22.0,0.0,2.0,24.0,0.0,4.0,7.2,0.0,2.0,8.0,2.0,id_tec_128
54.2,0.0,0.0,22.0,0.0,2.0,20.0,0.0,4.0,6.0,0.0,3.0,3.0,1.0,id_tec_129
37.5,0.0,0.0,22.0,0.0,2.0,8.0,0.0,4.0,7.0,0.0,1.0,5.0,1.0,id_tec_130
40.2,0.0,0.0,22.0,0.0,2.0,8.0,0.0,4.0,8.2,0.0,2.0,7.0,1.0,id_tec_131
33.0,0.0,0.0,22.0,1.0,2.0,25.0,0.0,4.0,5.8,0.0,3.0,4.0,1.0,id_tec_132
40.2,0.0,0.0,22.0,0.0,2.0,8.0,0.0,4.0,8.2,0.0,2.0,7.0,1.0,id_tec_133
39.0,0.0,0.0,22.0,1.0,2.0,9.0,0.0,4.0,5.2,0.0,2.0,1.0,3.0,id_tec_134
38.4,0.0,0.0,22.0,0.0,2.0,5.0,0.0,4.0,8.0,0.0,2.0,2.0,1.0,id_tec_135
42.0,0.0,0.0,22.0,0.0,2.0,8.0,0.0,4.0,5.4,0.0,2.0,3.0,1.0,id_tec_136
46.5,0.0,0.0,22.0,0.0,2.0,8.0,0.0,4.0,7.2,0.0,2.0,2.0,1.0,id_tec_137
42.0,0.0,0.0,22.0,1.0,2.0,8.0,0.0,4.0,7.0,0.0,2.0,3.0,1.0,id_tec_138
42.0,0.0,0.0,22.0,1.0,2.0,26.0,0.0,4.0,7.0,0.0,2.0,2.0,1.0,id_tec_139
