id,hab_id
id_man_151,4
id_man_154,4
id_man_155,4
id_man_158,4
id_man_160,4
id_man_162,4
id_man_163,4
id_man_167,4
id_man_171,4
id_man_173,4
id_man_175,4
id_man_176,4
id_man_178,4
id_man_179,4
id_man_181,4
id_man_182,4
id_man_184,4
id_man_186,4
id_man_188,4
id_man_189,4
id_man_192,4
id_man_194,4
id_man_195,4
id_man_196,4
id_man_198,4
id_man_200,4
id_man_201,4
id_man_202,4
id_man_204,4
id_man_205,4
id_man_209,4
id_man_210,4
id_man_214,4
id_man_215,4
id_man_217,4
id_man_218,4
id_man_224,4
id_man_226,4
id_man_230,4
id_man_232,4
id_man_237,4
id_man_244,4
id_man_247,4
id_man_253,4
id_man_254,4
id_man_259,4
id_man_261,4
id_man_265,4
id_man_269,4
id_man_270,4
id_man_271,4
id_man_272,4
id_man_282,4
id_man_287,4
id_man_291,4
id_man_294,4
id_man_297,4
id_man_298,4
id_man_301,4
id_man_303,4
id_man_305,4
id_man_306,4
id_man_311,4
id_man_313,4
id_man_318,4
id_man_327,4
id_man_329,4
id_man_330,4
id_man_332,4
id_man_333,4
id_man_337,4
id_man_338,4
id_man_343,4
id_man_344,4
id_man_347,4
id_man_350,4
id_man_353,4
id_man_355,4
id_man_359,4
id_man_363,4
id_man_368,4
id_man_369,4
id_man_373,4
id_man_374,4
id_man_376,4
id_man_377,4
id_man_382,4
id_man_392,4
id_man_393,4
id_man_395,4
id_man_396,4
id_man_400,4
id_man_401,4
id_man_404,4
id_man_408,4
id_man_410,4
id_man_411,4
id_man_417,4
id_man_418,4
id_man_421,4
id_man_423,4
id_man_424,4
id_man_426,4
id_man_429,4
id_man_430,4
id_man_433,4
id_man_437,4
id_man_439,4
id_man_444,4
id_man_447,4
id_man_449,4
id_man_451,4
id_man_453,4
id_man_454,4
id_man_455,4
id_man_457,4
id_man_465,4
id_man_473,4
id_man_476,4
id_man_477,4
id_man_480,4
id_man_483,4
id_man_491,4
id_man_492,4
id_man_495,4
id_man_501,4
id_man_504,4
id_man_505,4
id_man_508,4
id_man_516,4
id_man_517,4
id_man_518,4
id_man_519,4
id_man_520,4
id_man_521,4
id_man_525,4
id_man_527,4
id_man_529,4
id_man_536,4
id_man_542,4
id_man_543,4
id_man_544,4
id_man_549,4
id_man_550,4
id_man_554,4
id_man_563,4
id_man_565,4
id_man_567,4
id_man_570,4
id_man_572,4
id_man_573,4
id_man_574,4
id_man_583,4
id_man_586,4
id_man_588,4
id_man_613,4
id_man_629,4
id_man_630,4
id_man_631,4
id_man_632,4
id_man_633,4
id_man_641,4
id_man_644,4
id_man_653,4
id_man_654,4
id_man_655,4
id_man_661,4
id_man_662,4
id_man_664,4
id_man_667,4
id_man_668,4
id_man_669,4
id_man_673,4
id_man_677,4
id_man_678,4
id_man_679,4
id_man_680,4
id_man_681,4
id_man_683,4
id_man_684,4
id_man_685,4
id_man_686,4
id_man_696,4
id_man_700,4
id_man_705,4
id_man_706,4
id_man_707,4
id_man_709,4
id_man_710,4
id_man_714,4
id_man_715,4
id_man_718,4
id_man_720,4
id_man_724,4
id_man_725,4
id_man_734,4
id_man_735,4
id_man_736,4
id_man_737,4
id_man_738,4
id_man_740,4
id_man_742,4
id_man_745,4
id_man_752,4
id_man_753,4
id_man_754,4
id_man_761,4
id_man_763,4
id_man_766,4
id_man_767,4
id_man_768,4
id_man_769,4
id_man_770,4
id_man_774,4
id_man_775,4
id_man_777,4
id_man_778,4
id_man_780,4
id_man_796,4
id_man_797,4
id_man_804,4
id_man_806,4
id_man_809,4
id_man_813,4
id_man_817,4
id_man_820,4
id_man_822,4
id_man_827,4
id_man_833,4
id_man_834,4
id_man_837,4
id_man_838,4
id_man_840,4
id_man_843,4
id_man_844,4
id_man_845,4
id_man_849,4
id_man_856,4
id_man_857,4
id_man_858,4
id_man_859,4
id_man_865,4
id_man_866,4
id_man_870,4
id_man_876,4
id_man_877,4
id_man_878,4
id_man_879,4
id_man_880,4
id_man_881,4
id_man_882,4
id_man_884,4
id_man_885,4
id_man_888,4
id_man_891,4
id_man_892,4
id_man_893,4
id_man_896,4
id_man_898,4
id_man_901,4
id_man_902,4
id_man_903,4
id_man_904,4
id_man_905,4
id_man_909,4
id_man_912,4
id_man_919,4
id_man_921,4
id_man_922,4
id_man_929,4
id_man_931,4
id_man_933,4
id_man_941,4
id_man_943,4
id_man_948,4
id_man_950,4
id_man_952,4
id_man_955,4
id_man_959,4
id_man_961,4
id_man_963,4
id_man_966,4
id_man_967,4
id_man_968,4
id_man_971,4
id_man_972,4
id_man_973,4
id_man_975,4
id_man_977,4
id_man_981,4
id_man_982,4
id_man_985,4
id_man_986,4
id_man_991,4
id_man_995,4
id_man_999,4
id_man_1001,4
id_man_1002,4
id_man_1004,4
id_man_1006,4
id_man_1007,4
id_man_1009,4
id_man_1010,4
id_man_1012,4
id_man_1022,4
id_man_1024,4
id_man_1025,4
id_man_1026,4
id_man_1028,4
id_man_1029,4
id_man_1031,4
id_man_1032,4
id_man_1033,4
id_man_1035,4
id_man_1037,4
id_man_1038,4
id_man_1040,4
id_man_1041,4
id_man_1045,4
id_man_1048,4
id_man_1050,4
id_man_1051,4
id_man_1054,4
id_man_1056,4
id_man_1060,4
id_man_1061,4
id_man_1063,4
id_man_1066,4
id_man_1068,4
id_man_1071,4
id_man_1073,4
id_man_1075,4
id_man_1077,4
id_man_1079,4
id_man_1083,4
id_man_1085,4
id_man_1089,4
id_man_1095,4
id_man_1096,4
id_man_1101,4
id_man_1102,4
id_man_1104,4
id_man_1108,4
id_man_1109,4
id_man_1110,4
id_man_1111,4
id_man_1113,4
id_man_1115,4
id_man_1117,4
id_man_1118,4
id_man_1119,4
id_man_1130,4
id_man_1131,4
id_man_1133,4
id_man_1137,4
id_man_1140,4
id_man_1142,4
id_man_1145,4
id_man_1148,4
id_man_1150,4
id_man_1153,4
id_man_1156,4
id_man_1157,4
id_man_1159,4
id_man_1160,4
id_man_1164,4
id_man_1166,4
id_man_1170,4
id_man_1173,4
id_man_1181,4
id_man_1185,4
id_man_1216,4
id_man_1224,4
id_man_13,5
id_man_17,5
id_man_18,5
id_man_33,5
id_man_37,5
id_man_80,5
id_man_96,5
id_man_101,5
id_man_136,5
id_man_140,5
id_man_145,5
id_man_165,5
id_man_167,5
id_man_173,5
id_man_176,5
id_man_179,5
id_man_187,5
id_man_188,5
id_man_194,5
id_man_201,5
id_man_202,5
id_man_205,5
id_man_214,5
id_man_224,5
id_man_233,5
id_man_234,5
id_man_246,5
id_man_252,5
id_man_263,5
id_man_273,5
id_man_286,5
id_man_291,5
id_man_292,5
id_man_295,5
id_man_297,5
id_man_300,5
id_man_313,5
id_man_321,5
id_man_325,5
id_man_326,5
id_man_333,5
id_man_336,5
id_man_347,5
id_man_354,5
id_man_360,5
id_man_366,5
id_man_387,5
id_man_392,5
id_man_431,5
id_man_454,5
id_man_457,5
id_man_465,5
id_man_467,5
id_man_471,5
id_man_486,5
id_man_492,5
id_man_507,5
id_man_536,5
id_man_556,5
id_man_584,5
id_man_637,5
id_man_640,5
id_man_642,5
id_man_647,5
id_man_672,5
id_man_679,5
id_man_695,5
id_man_699,5
id_man_702,5
id_man_707,5
id_man_714,5
id_man_736,5
id_man_740,5
id_man_741,5
id_man_745,5
id_man_759,5
id_man_767,5
id_man_770,5
id_man_792,5
id_man_820,5
id_man_827,5
id_man_865,5
id_man_869,5
id_man_882,5
id_man_891,5
id_man_899,5
id_man_900,5
id_man_912,5
id_man_929,5
id_man_930,5
id_man_949,5
id_man_961,5
id_man_985,5
id_man_987,5
id_man_994,5
id_man_1017,5
id_man_1029,5
id_man_1089,5
id_man_1090,5
id_man_1094,5
id_man_1098,5
id_man_1117,5
id_man_1138,5
id_man_1139,5
id_man_1143,5
id_man_1147,5
id_man_1160,5
id_man_7,6
id_man_16,6
id_man_20,6
id_man_25,6
id_man_29,6
id_man_35,6
id_man_40,6
id_man_71,6
id_man_80,6
id_man_96,6
id_man_102,6
id_man_114,6
id_man_116,6
id_man_128,6
id_man_132,6
id_man_139,6
id_man_148,6
id_man_150,6
id_man_159,6
id_man_171,6
id_man_177,6
id_man_190,6
id_man_191,6
id_man_192,6
id_man_202,6
id_man_208,6
id_man_210,6
id_man_213,6
id_man_218,6
id_man_221,6
id_man_226,6
id_man_240,6
id_man_247,6
id_man_248,6
id_man_261,6
id_man_263,6
id_man_264,6
id_man_269,6
id_man_272,6
id_man_277,6
id_man_283,6
id_man_289,6
id_man_290,6
id_man_292,6
id_man_305,6
id_man_329,6
id_man_331,6
id_man_332,6
id_man_343,6
id_man_344,6
id_man_372,6
id_man_377,6
id_man_384,6
id_man_401,6
id_man_404,6
id_man_407,6
id_man_412,6
id_man_413,6
id_man_420,6
id_man_433,6
id_man_439,6
id_man_441,6
id_man_444,6
id_man_445,6
