id,tec_id
id_man_424,11
id_man_427,11
id_man_432,11
id_man_433,11
id_man_434,11
id_man_436,11
id_man_439,11
id_man_447,11
id_man_452,11
id_man_458,11
id_man_488,11
id_man_490,11
id_man_498,11
id_man_507,11
id_man_518,11
id_man_536,11
id_man_537,11
id_man_540,11
id_man_545,11
id_man_551,11
id_man_553,11
id_man_558,11
id_man_561,11
id_man_571,11
id_man_572,11
id_man_578,11
id_man_584,11
id_man_587,11
id_man_588,11
id_man_596,11
id_man_599,11
id_man_600,11
id_man_608,11
id_man_633,11
id_man_634,11
id_man_639,11
id_man_646,11
id_man_651,11
id_man_652,11
id_man_674,11
id_man_682,11
id_man_691,11
id_man_697,11
id_man_699,11
id_man_701,11
id_man_705,11
id_man_706,11
id_man_707,11
id_man_713,11
id_man_735,11
id_man_740,11
id_man_745,11
id_man_750,11
id_man_752,11
id_man_756,11
id_man_763,11
id_man_764,11
id_man_767,11
id_man_770,11
id_man_775,11
id_man_790,11
id_man_795,11
id_man_797,11
id_man_804,11
id_man_814,11
id_man_819,11
id_man_828,11
id_man_834,11
id_man_838,11
id_man_868,11
id_man_869,11
id_man_874,11
id_man_885,11
id_man_891,11
id_man_899,11
id_man_900,11
id_man_904,11
id_man_908,11
id_man_912,11
id_man_917,11
id_man_926,11
id_man_931,11
id_man_933,11
id_man_945,11
id_man_953,11
id_man_966,11
id_man_967,11
id_man_972,11
id_man_976,11
id_man_987,11
id_man_994,11
id_man_1007,11
id_man_1011,11
id_man_1013,11
id_man_1014,11
id_man_1028,11
id_man_1032,11
id_man_1043,11
id_man_1044,11
id_man_1049,11
id_man_1053,11
id_man_1054,11
id_man_1061,11
id_man_1067,11
id_man_1071,11
id_man_1091,11
id_man_1097,11
id_man_1100,11
id_man_1102,11
id_man_1103,11
id_man_1110,11
id_man_1112,11
id_man_1122,11
id_man_1125,11
id_man_1133,11
id_man_1134,11
id_man_1137,11
id_man_1143,11
id_man_1144,11
id_man_1150,11
id_man_1155,11
id_man_1179,11
id_man_1183,11
id_man_1190,11
id_man_1199,11
id_man_1224,11
id_man_4,12
id_man_5,12
id_man_7,12
id_man_13,12
id_man_16,12
id_man_18,12
id_man_21,12
id_man_25,12
id_man_31,12
id_man_37,12
id_man_43,12
id_man_51,12
id_man_58,12
id_man_63,12
id_man_64,12
id_man_67,12
id_man_75,12
id_man_78,12
id_man_81,12
id_man_93,12
id_man_94,12
id_man_118,12
id_man_135,12
id_man_147,12
id_man_148,12
id_man_156,12
id_man_167,12
id_man_177,12
id_man_183,12
id_man_189,12
id_man_209,12
id_man_211,12
id_man_216,12
id_man_217,12
id_man_219,12
id_man_228,12
id_man_232,12
id_man_245,12
id_man_251,12
id_man_257,12
id_man_260,12
id_man_267,12
id_man_272,12
id_man_295,12
id_man_325,12
id_man_326,12
id_man_332,12
id_man_334,12
id_man_345,12
id_man_351,12
id_man_358,12
id_man_363,12
id_man_371,12
id_man_394,12
id_man_400,12
id_man_407,12
id_man_408,12
id_man_414,12
id_man_416,12
id_man_424,12
id_man_448,12
id_man_459,12
id_man_466,12
id_man_472,12
id_man_477,12
id_man_488,12
id_man_489,12
id_man_519,12
id_man_522,12
id_man_524,12
id_man_533,12
id_man_542,12
id_man_562,12
id_man_563,12
id_man_654,12
id_man_655,12
id_man_667,12
id_man_669,12
id_man_681,12
id_man_688,12
id_man_689,12
id_man_691,12
id_man_697,12
id_man_699,12
id_man_701,12
id_man_711,12
id_man_714,12
id_man_715,12
id_man_724,12
id_man_740,12
id_man_742,12
id_man_756,12
id_man_758,12
id_man_759,12
id_man_768,12
id_man_769,12
id_man_773,12
id_man_778,12
id_man_783,12
id_man_785,12
id_man_786,12
id_man_809,12
id_man_812,12
id_man_816,12
id_man_823,12
id_man_826,12
id_man_835,12
id_man_840,12
id_man_850,12
id_man_853,12
id_man_857,12
id_man_888,12
id_man_890,12
id_man_902,12
id_man_917,12
id_man_921,12
id_man_930,12
id_man_949,12
id_man_967,12
id_man_970,12
id_man_976,12
id_man_984,12
id_man_1007,12
id_man_1023,12
id_man_1025,12
id_man_1038,12
id_man_1058,12
id_man_1073,12
id_man_1075,12
id_man_1076,12
id_man_1077,12
id_man_1096,12
id_man_1157,12
id_man_1170,12
id_man_1172,12
id_man_1175,12
id_man_1177,12
id_man_1221,12
id_man_4,13
id_man_46,13
id_man_192,13
id_man_217,13
id_man_226,13
id_man_885,13
id_man_933,13
id_man_4,14
id_man_739,14
id_man_757,14
id_man_4,15
id_man_17,15
id_man_20,15
id_man_33,15
id_man_35,15
id_man_38,15
id_man_39,15
id_man_41,15
id_man_43,15
id_man_44,15
id_man_51,15
id_man_61,15
id_man_64,15
id_man_65,15
id_man_74,15
id_man_95,15
id_man_101,15
id_man_112,15
id_man_116,15
id_man_117,15
id_man_118,15
id_man_119,15
id_man_122,15
id_man_123,15
id_man_124,15
id_man_128,15
id_man_131,15
id_man_133,15
id_man_146,15
id_man_149,15
id_man_150,15
id_man_154,15
id_man_155,15
id_man_159,15
id_man_166,15
id_man_167,15
id_man_180,15
id_man_195,15
id_man_196,15
id_man_203,15
id_man_205,15
id_man_206,15
id_man_208,15
id_man_214,15
id_man_218,15
id_man_234,15
id_man_236,15
id_man_240,15
id_man_243,15
id_man_251,15
id_man_265,15
id_man_266,15
id_man_273,15
id_man_279,15
id_man_281,15
id_man_283,15
id_man_293,15
id_man_296,15
id_man_297,15
id_man_306,15
id_man_323,15
id_man_338,15
id_man_340,15
id_man_342,15
id_man_343,15
id_man_347,15
id_man_361,15
id_man_368,15
id_man_370,15
id_man_371,15
